,n,CV_mode,Model,R2_val,R2_test,Parameters,object
33,33,loo,HistGradientBoostingRegressor,0.7476712894791342,0.7963706916775944,"{'learning_rate': 0.2533152332539941, 'max_depth': 3, 'min_samples_leaf': 5, 'max_leaf_nodes': 33, 'max_features': 0.13631729820239635, 'l2_regularization': 0.28098763661522996}",
34,34,loo,HistGradientBoostingRegressor,0.8154591319250142,0.826536217330562,"{'learning_rate': 0.41263074591788973, 'max_depth': 1, 'min_samples_leaf': 3, 'max_leaf_nodes': 31, 'max_features': 0.12469302885198526, 'l2_regularization': 0.14686977505731727}",
35,35,loo,HistGradientBoostingRegressor,0.8035867069783749,0.8189294505299345,"{'learning_rate': 0.42927031810720045, 'max_depth': 1, 'min_samples_leaf': 3, 'max_leaf_nodes': 12, 'max_features': 0.10225219269601465, 'l2_regularization': 0.3568220953303931}",
36,36,loo,HistGradientBoostingRegressor,0.7190803240863798,0.7907511454507502,"{'learning_rate': 0.4503856098139609, 'max_depth': 2, 'min_samples_leaf': 3, 'max_leaf_nodes': 14, 'max_features': 0.10489261144339407, 'l2_regularization': 0.5536162668706138}",
37,37,loo,HistGradientBoostingRegressor,0.7264799123888253,0.7886614225664073,"{'learning_rate': 0.03365526785835556, 'max_depth': 1, 'min_samples_leaf': 8, 'max_leaf_nodes': 15, 'max_features': 0.1725710823053447, 'l2_regularization': 0.440452883995088}",
38,38,loo,HistGradientBoostingRegressor,0.8101783451243767,0.8294972080253087,"{'learning_rate': 0.3662553504652839, 'max_depth': 1, 'min_samples_leaf': 3, 'max_leaf_nodes': 20, 'max_features': 0.1859546630605429, 'l2_regularization': 0.3312224318116924}",
39,39,loo,HistGradientBoostingRegressor,0.7935892636025597,0.7993397723407051,"{'learning_rate': 0.47707341500555905, 'max_depth': 1, 'min_samples_leaf': 4, 'max_leaf_nodes': 10, 'max_features': 0.18927856405677296, 'l2_regularization': 0.3079733404178156}",
40,40,loo,HistGradientBoostingRegressor,0.7995890206999123,0.842808091350759,"{'learning_rate': 0.23413822938317497, 'max_depth': 1, 'min_samples_leaf': 1, 'max_leaf_nodes': 44, 'max_features': 0.11328081060911446, 'l2_regularization': 0.12539427910716355}",
41,41,loo,HistGradientBoostingRegressor,0.7732794936134546,0.8211730081454823,"{'learning_rate': 0.18942630841034724, 'max_depth': 2, 'min_samples_leaf': 2, 'max_leaf_nodes': 51, 'max_features': 0.1302792662827089, 'l2_regularization': 0.1453583855868392}",
42,42,loo,HistGradientBoostingRegressor,0.4154841004022417,0.5017943446220163,"{'learning_rate': 0.002928574563577337, 'max_depth': 2, 'min_samples_leaf': 1, 'max_leaf_nodes': 52, 'max_features': 0.13354715135664744, 'l2_regularization': 0.11527824808834848}",
43,43,loo,HistGradientBoostingRegressor,0.7737062956490062,0.8331781478615325,"{'learning_rate': 0.24692012490219795, 'max_depth': 1, 'min_samples_leaf': 1, 'max_leaf_nodes': 48, 'max_features': 0.107472644508588, 'l2_regularization': 0.19169149038623234}",
44,44,loo,HistGradientBoostingRegressor,0.8147212709044566,0.8277500017932873,"{'learning_rate': 0.3021768195914517, 'max_depth': 1, 'min_samples_leaf': 4, 'max_leaf_nodes': 25, 'max_features': 0.15278166852345026, 'l2_regularization': 0.36156021169887387}",
45,45,loo,HistGradientBoostingRegressor,0.7811858258066191,0.8347823543807541,"{'learning_rate': 0.05446305405374632, 'max_depth': 1, 'min_samples_leaf': 2, 'max_leaf_nodes': 36, 'max_features': 0.2743918849808738, 'l2_regularization': 0.39712659998779615}",
46,46,loo,HistGradientBoostingRegressor,0.7846567695950223,0.8321931791542386,"{'learning_rate': 0.14810284259441592, 'max_depth': 1, 'min_samples_leaf': 2, 'max_leaf_nodes': 22, 'max_features': 0.1119386020396995, 'l2_regularization': 0.4133588668511612}",
47,47,loo,HistGradientBoostingRegressor,0.7647011717191878,0.766985598016783,"{'learning_rate': 0.417328953077519, 'max_depth': 2, 'min_samples_leaf': 8, 'max_leaf_nodes': 42, 'max_features': 0.1533047697697312, 'l2_regularization': 0.4518273301698791}",
